A,B,DVtotal_refined_mps,DVturn1_refined_mps,DVpatch_refined_mps,DVturn2_refined_mps,TOF_refined_days,overlap,runtime_s
Lyapunov L1,Lyapunov L2,3.16352179760699,0.591083062730168,1.83754220667692,0.734896528199905,27.2465526339527,25219,93.433851
Lyapunov L1,Cycler 21,4.54563840919971,0.429925740492831,4.01625004025238,0.0994626284544989,18.3671707182742,94428,153.442738
Lyapunov L1,Cycler 11a,7.00724679454583,0.912696480370375,5.93780874206282,0.156741572112635,20.1620626707579,86862,128.202436
Lyapunov L1,Cycler 11b,3.40471561696066,0.0123125451933765,1.53861727517069,1.8537857965966,20.5634226633258,83342,135.420787
Lyapunov L1,Cycler 32,10.3855400002959,0.261470231806691,8.99275363899064,1.13131612949856,22.0757931537373,84364,166.581747
Lyapunov L1,Resonant 2to1 Stable,NaN,NaN,NaN,NaN,NaN,0,7.89847
Lyapunov L1,Resonant 2to1 Unstable,5.42026151342668,0.217371549374423,4.62974729616453,0.573142667887723,21.2294683727529,78771,126.083107
Lyapunov L1,Resonant 3to1 Stable,173.041319330188,6.5001475185883,6.95646788327332,159.584703928327,26.9920231789912,5282,121.687015
Lyapunov L1,Resonant 3to1 Unstable,73.2538874263665,0.592715983160556,27.2487102204188,45.4124612227871,22.8147641793182,22988,89.411532
Lyapunov L1,Resonant 5to2 Stable,62.9684603588215,9.99194821336669,10.8297288672593,42.1467832781955,26.8114621254558,43873,133.359566
Lyapunov L1,Resonant 5to2 Unstable,24.3528378647059,0.855572489204269,21.4705285288217,2.02673684667991,21.133496029205,68724,168.095699
Lyapunov L1,Distant Prograde Orbit,4.30638984916616,1.66837373716902,2.10313661104625,0.534879500950888,19.3293012594032,19989,88.695917
Lyapunov L2,Cycler 21,3.04337130086846,0.549989558123754,1.29954453086931,1.1938372118754,24.2276561043769,58218,136.618073
Lyapunov L2,Cycler 11a,5.92883864320391,0.487515638776254,3.60054770997768,1.84077529444996,24.5909854012885,60392,136.720878
Lyapunov L2,Cycler 11b,3.84479007817448,2.38148221294453,0.881252213011366,0.582055652218582,20.0597261054788,53772,126.575262
Lyapunov L2,Cycler 32,6.70492874151268,0.343446964332286,4.65297923486671,1.70850254231367,25.3629121382597,60880,149.1944
Lyapunov L2,Resonant 2to1 Stable,NaN,NaN,NaN,NaN,NaN,0,7.099525
Lyapunov L2,Resonant 2to1 Unstable,14.2678488695068,0.853481343404454,7.511378152819,5.90298937328332,24.7973558928296,51778,144.505106
Lyapunov L2,Resonant 3to1 Stable,239.279924070885,50.879012339497,21.8768135091295,166.524098222259,27.2573871545847,1410,81.794887
Lyapunov L2,Resonant 3to1 Unstable,162.579065040651,17.0524095705941,5.14127710183883,140.385378368219,20.8151322720831,8601,94.358414
Lyapunov L2,Resonant 5to2 Stable,98.6727146246911,2.72941320458036,4.92398706213264,91.019314357978,26.4249483799081,21381,119.577755
Lyapunov L2,Resonant 5to2 Unstable,14.1824232025114,4.05062398635458,1.59893662680183,8.53286258935501,23.4721157557996,42908,115.10005
Lyapunov L2,Distant Prograde Orbit,5.7853097918268,0.823303101809076,4.1168864450266,0.845120244991129,22.8447968741232,29562,104.286245
Cycler 21,Cycler 11a,0.854682652015462,0.132592379009696,0.715822961473003,0.00626731153276265,9.02634917091377,261817,190.265
Cycler 21,Cycler 11b,1.19396976641801,0.102699932636402,1.0809464815726,0.0103233522090057,18.9864116952952,438731,253.453861
Cycler 21,Cycler 32,1.95629150690597,0.0491255138483661,1.84284949082451,0.0643165022331006,24.8504947786899,213293,201.568835
Cycler 21,Resonant 2to1 Stable,332.186751536495,121.804978421539,9.39320086469662,200.988572250259,15.1472773551532,19882,171.006982
Cycler 21,Resonant 2to1 Unstable,9.59060631920408,0.00811899338872533,3.88055341609398,5.70193390972137,17.9180392249042,235449,185.479535
Cycler 21,Resonant 3to1 Stable,177.95135112866,13.8291361198222,10.0877797103697,154.034435298469,27.0597219351238,7440,127.788652
Cycler 21,Resonant 3to1 Unstable,74.5765659217509,9.31782770336672,27.987984651279,37.2707535671051,19.2008391789978,55834,124.393113
Cycler 21,Resonant 5to2 Stable,60.0300381413374,20.0964614784455,1.9236780041353,38.0098986587565,26.8225904747465,164679,178.099369
Cycler 21,Resonant 5to2 Unstable,26.8307948705229,13.9213517903439,3.78986110633164,9.11958197384739,20.9299952004278,164026,216.260477
Cycler 21,Distant Prograde Orbit,3.78534077244397,2.01939912531395,1.75282772163478,0.0131139254952412,19.2370854817033,67049,136.249652
Cycler 11a,Cycler 11b,0.989630507329543,0.450490362211494,0.528816792909043,0.0103233522090057,19.6446269863352,242157,175.268832
Cycler 11a,Cycler 32,2.2335777450402,0.0895207759454551,2.07919317221498,0.0648637968797685,24.2458233940886,222774,195.285621
Cycler 11a,Resonant 2to1 Stable,339.268595585443,124.821176403743,9.80741918170074,204.64,26.3098151124252,213,72.150306
Cycler 11a,Resonant 2to1 Unstable,2.47768074996447,0.0019164545518779,0.0196532076885663,2.45611108772403,16.7002182916902,199544,160.216993
Cycler 11a,Resonant 3to1 Stable,173.8739394712,9.92009774911251,9.38990594687636,154.563935775211,27.0836095799057,21671,157.457311
